ISO,FS_region_code,FS_region_name,FS_region_name_short,ISO_name,FS_MAGNET,GTAP,FS_MAGNET_old,Note
BRA,1,Brazil,BRA,Brazil,BRA,bra,BRA,
ABW,13,RestLaAmer,RLA,Aruba,CAM,xcb,RestCeAmer,
AIA,13,RestLaAmer,RLA,Anguilla,CAM,xcb,RestCeAmer,
ANT,13,RestLaAmer,RLA,Netherlands Antilles,CAM,xcb,RestCeAmer,
ATG,13,RestLaAmer,RLA,Antigua and Barbuda,CAM,xcb,RestCeAmer,
BHS,13,RestLaAmer,RLA,Bahamas,CAM,xcb,RestCeAmer,
BLZ,13,RestLaAmer,RLA,Belize,CAM,xca,RestCeAmer,
BMU,13,RestLaAmer,RLA,Bermuda,CAM,xna,RestCeAmer,
BRB,13,RestLaAmer,RLA,Barbados,CAM,xcb,RestCeAmer,
CRI,13,RestLaAmer,RLA,Costa Rica,CAM,cri,RestCeAmer,
CUB,13,RestLaAmer,RLA,Cuba,CAM,xcb,RestCeAmer,
CYM,13,RestLaAmer,RLA,Cayman Islands,CAM,xcb,RestCeAmer,
DMA,13,RestLaAmer,RLA,Dominica,CAM,xcb,RestCeAmer,
DOM,13,RestLaAmer,RLA,Dominican Republic,CAM,dom,RestCeAmer,
GLP,13,RestLaAmer,RLA,Guadeloupe,CAM,fra,RestCeAmer,
GRD,13,RestLaAmer,RLA,Grenada,CAM,xcb,RestCeAmer,
GTM,13,RestLaAmer,RLA,Guatemala,CAM,gtm,RestCeAmer,
HND,13,RestLaAmer,RLA,Honduras,CAM,hnd,RestCeAmer,
HTI,13,RestLaAmer,RLA,Haiti,CAM,xcb,RestCeAmer,
JAM,13,RestLaAmer,RLA,Jamaica,CAM,jam,RestCeAmer,
KNA,13,RestLaAmer,RLA,Saint Kitts and Nevis,CAM,xcb,RestCeAmer,
LCA,13,RestLaAmer,RLA,Saint Lucia,CAM,xcb,RestCeAmer,
MSR,13,RestLaAmer,RLA,Montserrat,CAM,xcb,RestCeAmer,
MTQ,13,RestLaAmer,RLA,Martinique,CAM,fra,RestCeAmer,
NIC,13,RestLaAmer,RLA,Nicaragua,CAM,nic,RestCeAmer,
PAN,13,RestLaAmer,RLA,Panama,CAM,pan,RestCeAmer,
PRI,13,RestLaAmer,RLA,Puerto Rico,CAM,pri,RestCeAmer,
SLV,13,RestLaAmer,RLA,El Salvador,CAM,slv,RestCeAmer,
TCA,13,RestLaAmer,RLA,Turks and Caicos Islands,CAM,xcb,RestCeAmer,
TTO,13,RestLaAmer,RLA,Trinidad and Tobago,CAM,tto,RestCeAmer,
VCT,13,RestLaAmer,RLA,Saint Vincent and the Grenadines,CAM,xcb,RestCeAmer,
VGB,13,RestLaAmer,RLA,"Virgin Islands, British",CAM,xcb,RestCeAmer,
VIR,13,RestLaAmer,RLA,"Virgin Islands, U.S.",CAM,xcb,RestCeAmer,
CAN,8,NAFTA,NFT,Canada,CAN,can,CAN,
KAZ,14,RussiaStan,RUS,Kazakstan,CAS,kaz,CAS,
KGZ,14,RussiaStan,RUS,Kyrgyzstan,CAS,kgz,CAS,
TJK,14,RussiaStan,RUS,Tajikistan,CAS,xsu,CAS,
TKM,14,RussiaStan,RUS,Turkmenistan,CAS,xsu,CAS,
UZB,14,RussiaStan,RUS,Uzbekistan,CAS,xsu,CAS,
CHN,2,China,CHN,China,CHN,chn,CHN,
HKG,5,HighIncAsia,HIA,Hong Kong,CHR,hkg,HighIncAsia,Does not correspond with original mapping in MAGNET
MAC,5,HighIncAsia,HIA,Macau,CHR,xea,HighIncAsia,Does not correspond with original mapping in MAGNET
TWN,5,HighIncAsia,HIA,"Taiwan, Province of China",CHR,twn,HighIncAsia,Does not correspond with original mapping in MAGNET
MNG,14,HighIncAsia,HIA,Mongolia,CHR,mng,Mongolia,Now mapped to HIA while should go to RussiaStan
PRK,14,HighIncAsia,HIA,"Korea, Democratic People's Republic of",CHR,xea,Nkorea,Now mapped to HIA while should go to RussiaStan
BDI,3,EaAfrica,EAF,Burundi,EAF,xec,EAF,
COM,3,EaAfrica,EAF,Comoros,EAF,xec,EAF,
DJI,3,EaAfrica,EAF,Djibouti,EAF,xec,EAF,
ERI,3,EaAfrica,EAF,Eritrea,EAF,xec,EAF,
MDG,3,EaAfrica,EAF,Madagascar,EAF,mdg,EAF,
MUS,3,EaAfrica,EAF,Mauritius,EAF,mus,EAF,
MYT,3,EaAfrica,EAF,Mayotte,EAF,xec,EAF,
REU,3,EaAfrica,EAF,Reunion,EAF,fra,EAF,
RWA,3,EaAfrica,EAF,Rwanda,EAF,rwa,EAF,
SDN,3,EaAfrica,EAF,Sudan,EAF,xec,EAF,
SOM,3,EaAfrica,EAF,Somalia,EAF,xec,EAF,
SYC,3,EaAfrica,EAF,Seychelles,EAF,xec,EAF,
ETH,3,EaAfrica,EAF,Ethiopia,ETH,eth,ETH,
BGR,4,EU28,EUR,Bulgaria,EU12,bgr,EU12,
CYP,4,EU28,EUR,Cyprus,EU12,cyp,EU12,
CZE,4,EU28,EUR,Czech Republic,EU12,cze,EU12,
EST,4,EU28,EUR,Estonia,EU12,est,EU12,
HRV,4,EU28,EUR,Croatia,EU12,hrv,EU12,
HUN,4,EU28,EUR,Hungary,EU12,hun,EU12,
LTU,4,EU28,EUR,Lithuania,EU12,ltu,EU12,
LVA,4,EU28,EUR,Latvia,EU12,lva,EU12,
POL,4,EU28,EUR,Poland,EU12,pol,EU12,
ROU,4,EU28,EUR,Romania,EU12,rou,EU12,
